State,Capital,Latitude,Longitude,Timezone
Kerala,Thiruvananthapuram,8.4855,76.94924,Asia/Kolkata
Madhya Pradesh,Bhopal,23.25469,77.40289,Asia/Kolkata
Maharashtra,Mumbai,19.07283,72.88261,Asia/Kolkata
Manipur,Imphal,24.80805,93.9442,Asia/Kolkata
Meghalaya,Shillong,25.56892,91.88313,Asia/Kolkata
Mizoram,Aizawl,23.72894,92.71791,Asia/Kolkata
Nagaland,Kohima,25.67467,94.11099,Asia/Kolkata
Odisha,Bhubaneswar,20.27241,85.83385,Asia/Kolkata
Rajasthan,Jaipur,26.91962,75.78781,Asia/Kolkata
Sikkim,Gangtok,27.32574,88.61216,Asia/Kolkata
Tamil Nadu,Chennai,13.08784,80.27847,Asia/Kolkata
Telangana,Hyderabad,17.38405,78.45636,Asia/Kolkata
Tripura,Agartala,23.83605,91.27939,Asia/Kolkata
Uttar Pradesh,Lucknow,26.83928,80.92313,Asia/Kolkata
Uttarakhand,Dehradun,30.32443,78.03392,Asia/Kolkata
West Bengal,Kolkata,22.56263,88.36304,Asia/Kolkata
Jammu and Kashmir,Srinagar,34.08565,74.80555,Asia/Kolkata
Ladakh,Leh,49.49346,0.10785,Europe/Paris
